Destination Type,Trip Purpose,Budget Range,Travel Season,Travel Duration,Accommodation Preference,Interest,Food Interests,Travel Type / Group,Country_Info
Other,Family Vacation,Mid-Range,Autumn,A Month,Resort,Nature,Non-Vegetarian,Solo Traveler,Italy - Venetian Canals in Venice
Mountains,Adventure,Budget-Friendly,Winter,A Month,Hotel,Relaxation,Vegetarian,Business Group,Spain - La Sagrada Familia in Barcelona
Island,Honeymoon,Budget-Friendly,Spring,3-days,Resort,Culture,Non-Vegetarian,Friends Group,Italy - Venetian Canals in Venice
Beach,Spiritual Retreat,Luxury,Autumn,A Month,Camping,Relaxation,Vegan,Family with Kids,New Zealand - Milford Sound
City,Other,Mid-Range,Winter,Weekend,Resort,Relaxation,Non-Vegetarian,Solo Traveler,Australia - Great Barrier Reef
Historical Sites,Spiritual Retreat,Budget-Friendly,Summer,Weekend,Apartment,Nature,Vegan,Solo Traveler,Italy - Venetian Canals in Venice
Mountains,Adventure,Mid-Range,Winter,Long(+month),Hotel,Adventure,Non-Vegetarian,Friends Group,Canada - Niagara Falls
Mountains,Adventure,Budget-Friendly,Spring,A Month,Hostel,Adventure,Non-Vegetarian,Business Group,Mexico - Chichen Itza
Other,Family Vacation,Mid-Range,Summer,Long(+month),Apartment,Relaxation,Non-Vegetarian,Solo Traveler,UAE - Burj Khalifa in Dubai
Historical Sites,Family Vacation,Mid-Range,Winter,Long(+month),Hostel,Culture,Non-Vegetarian,Family with Kids,New Zealand - Milford Sound
City,Adventure,Luxury,Winter,A Month,Hostel,Nature,Vegan,Business Group,Egypt - Pyramids of Giza
Other,Honeymoon,Mid-Range,Summer,A Month,Camping,Culture,Vegan,Solo Traveler,Canada - Niagara Falls
Island,Honeymoon,Luxury,Autumn,Weekend,Hostel,Nature,Non-Vegetarian,Couples,Italy - Venetian Canals in Venice
Other,Other,Luxury,Winter,Weekend,Hotel,Adventure,Vegetarian,Business Group,Germany - Neuschwanstein Castle
Beach,Other,Budget-Friendly,Spring,A Month,Hotel,Relaxation,Vegetarian,Business Group,South Africa - Safari in Kruger National Park
Mountains,Other,Mid-Range,Summer,Long(+month),Apartment,Adventure,Vegan,Couples,Japan - Cherry Blossoms in Kyoto
Island,Spiritual Retreat,Budget-Friendly,Winter,Weekend,Hostel,Relaxation,Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Island,Spiritual Retreat,Mid-Range,Spring,Long(+month),Hostel,Nature,Vegetarian,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Historical Sites,Spiritual Retreat,Luxury,Spring,Long(+month),Hotel,Nature,Non-Vegetarian,Solo Traveler,Indonesia - Bali Temples
Countryside,Other,Budget-Friendly,Autumn,Weekend,Apartment,Nature,Non-Vegetarian,Family with Kids,Japan - Cherry Blossoms in Kyoto
Historical Sites,Family Vacation,Budget-Friendly,Spring,Weekend,Resort,Nature,Vegan,Solo Traveler,Mexico - Chichen Itza
Mountains,Other,Mid-Range,Summer,A Month,Apartment,Nature,Vegan,Couples,Turkey - Cappadocia Hot Air Balloons
Beach,Family Vacation,Budget-Friendly,Winter,A Month,Resort,Culture,Non-Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Mountains,Honeymoon,Luxury,Winter,Weekend,Apartment,Adventure,Vegan,Friends Group,Italy - Venetian Canals in Venice
Other,Other,Luxury,Autumn,3-days,Hostel,Culture,Vegan,Friends Group,New Zealand - Milford Sound
Other,Honeymoon,Budget-Friendly,Winter,A Month,Resort,Adventure,Vegetarian,Business Group,Spain - La Sagrada Familia in Barcelona
Historical Sites,Family Vacation,Luxury,Spring,3-days,Camping,Nature,Vegan,Couples,Italy - Venetian Canals in Venice
Other,Spiritual Retreat,Luxury,Summer,A Month,Camping,Culture,Non-Vegetarian,Solo Traveler,France - Eiffel Tower in Paris
Beach,Honeymoon,Luxury,Autumn,Long(+month),Hostel,Culture,Vegan,Family with Kids,Thailand - Beaches in Phuket
Beach,Adventure,Mid-Range,Winter,Weekend,Hostel,Culture,Vegetarian,Friends Group,Mexico - Chichen Itza
Beach,Honeymoon,Mid-Range,Autumn,Long(+month),Resort,Culture,Non-Vegetarian,Family with Kids,Indonesia - Bali Temples
City,Adventure,Luxury,Winter,Long(+month),Hostel,Adventure,Non-Vegetarian,Solo Traveler,Canada - Niagara Falls
Island,Other,Luxury,Spring,3-days,Apartment,Adventure,Vegan,Couples,Spain - La Sagrada Familia in Barcelona
Other,Other,Luxury,Winter,A Month,Resort,Adventure,Vegan,Family with Kids,Japan - Cherry Blossoms in Kyoto
Mountains,Honeymoon,Mid-Range,Summer,3-days,Hostel,Nature,Non-Vegetarian,Friends Group,Japan - Cherry Blossoms in Kyoto
Island,Honeymoon,Luxury,Summer,Long(+month),Hostel,Adventure,Non-Vegetarian,Business Group,Switzerland - Swiss Alps
Countryside,Adventure,Mid-Range,Summer,Long(+month),Resort,Nature,Vegetarian,Business Group,Thailand - Beaches in Phuket
Mountains,Other,Mid-Range,Spring,Weekend,Hotel,Nature,Vegetarian,Business Group,USA - Grand Canyon
Countryside,Adventure,Luxury,Spring,Weekend,Resort,Culture,Vegan,Couples,Brazil - Carnival in Rio de Janeiro
Other,Family Vacation,Budget-Friendly,Spring,3-days,Apartment,Adventure,Non-Vegetarian,Friends Group,Australia - Great Barrier Reef
Countryside,Adventure,Luxury,Spring,3-days,Apartment,Relaxation,Vegan,Solo Traveler,Mexico - Chichen Itza
Countryside,Family Vacation,Budget-Friendly,Winter,Long(+month),Resort,Culture,Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Other,Honeymoon,Mid-Range,Autumn,Weekend,Hostel,Culture,Non-Vegetarian,Friends Group,Italy - Venetian Canals in Venice
Other,Family Vacation,Luxury,Autumn,A Month,Resort,Culture,Vegan,Solo Traveler,Egypt - Pyramids of Giza
Historical Sites,Adventure,Luxury,Winter,A Month,Apartment,Relaxation,Vegan,Couples,New Zealand - Milford Sound
Other,Adventure,Budget-Friendly,Winter,Weekend,Camping,Relaxation,Vegan,Business Group,UAE - Burj Khalifa in Dubai
Other,Honeymoon,Mid-Range,Summer,A Month,Camping,Adventure,Vegetarian,Family with Kids,Mexico - Chichen Itza
Island,Other,Luxury,Summer,A Month,Resort,Relaxation,Non-Vegetarian,Family with Kids,Japan - Cherry Blossoms in Kyoto
Historical Sites,Other,Mid-Range,Summer,Weekend,Resort,Nature,Non-Vegetarian,Business Group,Thailand - Beaches in Phuket
City,Honeymoon,Mid-Range,Autumn,Weekend,Hostel,Relaxation,Non-Vegetarian,Couples,Mexico - Chichen Itza
City,Adventure,Mid-Range,Autumn,Weekend,Hotel,Culture,Vegetarian,Solo Traveler,New Zealand - Milford Sound
Countryside,Family Vacation,Mid-Range,Autumn,Weekend,Hostel,Adventure,Non-Vegetarian,Family with Kids,Greece - Santorini Sunset
City,Honeymoon,Budget-Friendly,Autumn,Weekend,Camping,Nature,Vegan,Solo Traveler,New Zealand - Milford Sound
Beach,Adventure,Luxury,Autumn,Weekend,Hostel,Relaxation,Non-Vegetarian,Family with Kids,Spain - La Sagrada Familia in Barcelona
City,Honeymoon,Mid-Range,Autumn,3-days,Hostel,Relaxation,Vegetarian,Couples,Canada - Niagara Falls
Island,Spiritual Retreat,Budget-Friendly,Winter,A Month,Hostel,Adventure,Non-Vegetarian,Friends Group,UAE - Burj Khalifa in Dubai
Other,Spiritual Retreat,Luxury,Autumn,Long(+month),Hotel,Nature,Vegetarian,Solo Traveler,France - Eiffel Tower in Paris
Countryside,Adventure,Mid-Range,Autumn,Long(+month),Apartment,Relaxation,Vegan,Family with Kids,Japan - Cherry Blossoms in Kyoto
Other,Other,Budget-Friendly,Spring,A Month,Apartment,Relaxation,Vegetarian,Solo Traveler,Turkey - Cappadocia Hot Air Balloons
Mountains,Honeymoon,Budget-Friendly,Winter,Weekend,Hotel,Relaxation,Vegetarian,Solo Traveler,Germany - Neuschwanstein Castle
Island,Other,Mid-Range,Winter,A Month,Resort,Relaxation,Non-Vegetarian,Couples,Italy - Venetian Canals in Venice
Mountains,Other,Luxury,Spring,Long(+month),Hostel,Relaxation,Vegan,Solo Traveler,Italy - Venetian Canals in Venice
Beach,Other,Mid-Range,Summer,Weekend,Hotel,Nature,Vegan,Business Group,Canada - Niagara Falls
Beach,Family Vacation,Luxury,Winter,3-days,Apartment,Culture,Non-Vegetarian,Couples,Brazil - Carnival in Rio de Janeiro
Historical Sites,Honeymoon,Luxury,Summer,Long(+month),Resort,Nature,Non-Vegetarian,Friends Group,UAE - Burj Khalifa in Dubai
Countryside,Other,Mid-Range,Winter,Long(+month),Apartment,Relaxation,Non-Vegetarian,Family with Kids,Egypt - Pyramids of Giza
Island,Other,Mid-Range,Spring,Weekend,Hotel,Nature,Vegetarian,Friends Group,Germany - Neuschwanstein Castle
Other,Honeymoon,Budget-Friendly,Winter,Long(+month),Hotel,Nature,Vegetarian,Couples,Canada - Niagara Falls
Island,Honeymoon,Budget-Friendly,Autumn,Long(+month),Hostel,Culture,Non-Vegetarian,Friends Group,Japan - Cherry Blossoms in Kyoto
Other,Other,Luxury,Winter,Weekend,Resort,Culture,Non-Vegetarian,Friends Group,UAE - Burj Khalifa in Dubai
Other,Other,Mid-Range,Autumn,Long(+month),Camping,Nature,Vegetarian,Solo Traveler,Mexico - Chichen Itza
Historical Sites,Honeymoon,Luxury,Spring,3-days,Hotel,Nature,Vegan,Family with Kids,France - Eiffel Tower in Paris
Beach,Other,Luxury,Summer,A Month,Hotel,Adventure,Vegetarian,Business Group,Mexico - Chichen Itza
Countryside,Adventure,Luxury,Autumn,3-days,Camping,Adventure,Non-Vegetarian,Friends Group,India - Taj Mahal
City,Spiritual Retreat,Luxury,Autumn,Long(+month),Hostel,Nature,Non-Vegetarian,Business Group,Greece - Santorini Sunset
Historical Sites,Honeymoon,Mid-Range,Winter,Long(+month),Camping,Nature,Non-Vegetarian,Friends Group,Thailand - Beaches in Phuket
Historical Sites,Adventure,Luxury,Autumn,Weekend,Hotel,Adventure,Vegan,Business Group,UAE - Burj Khalifa in Dubai
Beach,Other,Budget-Friendly,Autumn,Weekend,Hostel,Culture,Vegan,Couples,Italy - Venetian Canals in Venice
Countryside,Other,Mid-Range,Autumn,Weekend,Camping,Nature,Non-Vegetarian,Family with Kids,Australia - Great Barrier Reef
Countryside,Family Vacation,Luxury,Spring,3-days,Camping,Relaxation,Vegetarian,Solo Traveler,Australia - Great Barrier Reef
Beach,Family Vacation,Luxury,Winter,3-days,Hostel,Relaxation,Non-Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Countryside,Other,Mid-Range,Spring,Weekend,Apartment,Nature,Vegetarian,Family with Kids,Spain - La Sagrada Familia in Barcelona
Other,Adventure,Mid-Range,Spring,Weekend,Apartment,Relaxation,Non-Vegetarian,Family with Kids,Indonesia - Bali Temples
Other,Other,Luxury,Autumn,A Month,Camping,Relaxation,Non-Vegetarian,Family with Kids,South Africa - Safari in Kruger National Park
Other,Spiritual Retreat,Budget-Friendly,Spring,Long(+month),Resort,Culture,Non-Vegetarian,Solo Traveler,Indonesia - Bali Temples
Mountains,Other,Mid-Range,Winter,A Month,Camping,Adventure,Non-Vegetarian,Family with Kids,Switzerland - Swiss Alps
Countryside,Spiritual Retreat,Budget-Friendly,Summer,3-days,Hotel,Nature,Vegetarian,Business Group,Turkey - Cappadocia Hot Air Balloons
Beach,Family Vacation,Mid-Range,Winter,3-days,Hostel,Culture,Vegetarian,Couples,Spain - La Sagrada Familia in Barcelona
Island,Family Vacation,Luxury,Autumn,Long(+month),Hotel,Culture,Non-Vegetarian,Friends Group,Australia - Great Barrier Reef
Other,Spiritual Retreat,Mid-Range,Spring,Long(+month),Apartment,Relaxation,Vegetarian,Solo Traveler,Mexico - Chichen Itza
Countryside,Spiritual Retreat,Luxury,Spring,Weekend,Hotel,Relaxation,Vegan,Couples,Canada - Niagara Falls
Island,Other,Budget-Friendly,Spring,3-days,Hostel,Nature,Vegetarian,Solo Traveler,Switzerland - Swiss Alps
City,Adventure,Mid-Range,Spring,Long(+month),Hotel,Nature,Vegan,Business Group,Egypt - Pyramids of Giza
Beach,Family Vacation,Luxury,Spring,A Month,Camping,Nature,Vegan,Solo Traveler,India - Taj Mahal
Mountains,Spiritual Retreat,Budget-Friendly,Summer,Long(+month),Apartment,Adventure,Vegetarian,Business Group,Switzerland - Swiss Alps
Mountains,Family Vacation,Budget-Friendly,Spring,Long(+month),Hotel,Nature,Vegetarian,Couples,Switzerland - Swiss Alps
City,Family Vacation,Luxury,Winter,A Month,Resort,Culture,Non-Vegetarian,Business Group,Egypt - Pyramids of Giza
Island,Honeymoon,Mid-Range,Winter,3-days,Resort,Relaxation,Vegan,Business Group,Switzerland - Swiss Alps
Island,Adventure,Mid-Range,Winter,3-days,Apartment,Adventure,Non-Vegetarian,Business Group,Brazil - Carnival in Rio de Janeiro
Other,Spiritual Retreat,Budget-Friendly,Spring,3-days,Apartment,Nature,Vegetarian,Family with Kids,USA - Grand Canyon
Historical Sites,Honeymoon,Budget-Friendly,Autumn,3-days,Apartment,Relaxation,Vegetarian,Solo Traveler,Canada - Niagara Falls
Beach,Honeymoon,Budget-Friendly,Autumn,A Month,Camping,Nature,Non-Vegetarian,Solo Traveler,South Africa - Safari in Kruger National Park
Historical Sites,Spiritual Retreat,Mid-Range,Summer,A Month,Camping,Culture,Non-Vegetarian,Friends Group,Brazil - Carnival in Rio de Janeiro
Mountains,Adventure,Mid-Range,Autumn,A Month,Resort,Adventure,Non-Vegetarian,Friends Group,India - Taj Mahal
City,Honeymoon,Luxury,Winter,Long(+month),Apartment,Nature,Non-Vegetarian,Business Group,Thailand - Beaches in Phuket
Historical Sites,Honeymoon,Mid-Range,Summer,Long(+month),Hostel,Nature,Vegetarian,Couples,Australia - Great Barrier Reef
Countryside,Spiritual Retreat,Budget-Friendly,Winter,Long(+month),Hostel,Adventure,Vegan,Family with Kids,France - Eiffel Tower in Paris
Historical Sites,Other,Mid-Range,Summer,Weekend,Resort,Adventure,Vegetarian,Business Group,New Zealand - Milford Sound
Countryside,Adventure,Luxury,Winter,3-days,Hotel,Adventure,Vegan,Business Group,Canada - Niagara Falls
Island,Spiritual Retreat,Budget-Friendly,Winter,3-days,Hotel,Culture,Vegan,Solo Traveler,Spain - La Sagrada Familia in Barcelona
Island,Spiritual Retreat,Luxury,Spring,Weekend,Hotel,Nature,Non-Vegetarian,Solo Traveler,New Zealand - Milford Sound
City,Other,Budget-Friendly,Summer,3-days,Hostel,Culture,Vegetarian,Couples,Thailand - Beaches in Phuket
Beach,Spiritual Retreat,Mid-Range,Winter,A Month,Apartment,Nature,Non-Vegetarian,Solo Traveler,Mexico - Chichen Itza
Mountains,Other,Mid-Range,Winter,Weekend,Resort,Culture,Vegan,Family with Kids,Indonesia - Bali Temples
Island,Family Vacation,Luxury,Summer,3-days,Hostel,Relaxation,Vegetarian,Friends Group,Switzerland - Swiss Alps
Island,Spiritual Retreat,Budget-Friendly,Winter,Long(+month),Apartment,Nature,Non-Vegetarian,Business Group,Canada - Niagara Falls
City,Family Vacation,Luxury,Autumn,3-days,Hostel,Culture,Non-Vegetarian,Solo Traveler,Greece - Santorini Sunset
Beach,Family Vacation,Luxury,Autumn,Weekend,Camping,Culture,Vegetarian,Family with Kids,Switzerland - Swiss Alps
Countryside,Adventure,Budget-Friendly,Winter,A Month,Resort,Nature,Vegan,Solo Traveler,Canada - Niagara Falls
Mountains,Adventure,Luxury,Autumn,A Month,Hotel,Relaxation,Vegetarian,Business Group,New Zealand - Milford Sound
Mountains,Other,Luxury,Winter,A Month,Resort,Relaxation,Vegan,Couples,India - Taj Mahal
Island,Family Vacation,Mid-Range,Summer,A Month,Apartment,Nature,Non-Vegetarian,Business Group,Italy - Venetian Canals in Venice
Historical Sites,Honeymoon,Luxury,Spring,A Month,Camping,Culture,Vegan,Solo Traveler,Greece - Santorini Sunset
Island,Family Vacation,Mid-Range,Spring,Long(+month),Camping,Culture,Vegetarian,Family with Kids,Spain - La Sagrada Familia in Barcelona
Mountains,Other,Mid-Range,Summer,Long(+month),Apartment,Adventure,Vegetarian,Solo Traveler,Canada - Niagara Falls
Beach,Other,Budget-Friendly,Winter,A Month,Hostel,Adventure,Non-Vegetarian,Solo Traveler,France - Eiffel Tower in Paris
Island,Honeymoon,Mid-Range,Summer,3-days,Hotel,Culture,Vegan,Solo Traveler,Italy - Venetian Canals in Venice
Other,Spiritual Retreat,Budget-Friendly,Winter,Weekend,Resort,Adventure,Non-Vegetarian,Solo Traveler,Thailand - Beaches in Phuket
Countryside,Honeymoon,Budget-Friendly,Summer,Weekend,Apartment,Adventure,Vegetarian,Couples,Germany - Neuschwanstein Castle
Island,Spiritual Retreat,Luxury,Autumn,3-days,Resort,Relaxation,Vegetarian,Friends Group,Mexico - Chichen Itza
Island,Family Vacation,Mid-Range,Summer,Weekend,Resort,Nature,Vegan,Solo Traveler,Indonesia - Bali Temples
Beach,Family Vacation,Luxury,Summer,Long(+month),Hotel,Culture,Vegetarian,Couples,USA - Grand Canyon
Countryside,Adventure,Luxury,Autumn,Weekend,Hostel,Nature,Vegetarian,Solo Traveler,Egypt - Pyramids of Giza
Island,Other,Mid-Range,Spring,Long(+month),Hostel,Relaxation,Non-Vegetarian,Couples,Switzerland - Swiss Alps
Mountains,Adventure,Luxury,Winter,Long(+month),Apartment,Culture,Vegetarian,Business Group,Egypt - Pyramids of Giza
Historical Sites,Family Vacation,Budget-Friendly,Spring,3-days,Apartment,Nature,Non-Vegetarian,Family with Kids,Switzerland - Swiss Alps
Beach,Adventure,Mid-Range,Winter,3-days,Apartment,Relaxation,Non-Vegetarian,Couples,Italy - Venetian Canals in Venice
Countryside,Other,Mid-Range,Summer,Long(+month),Apartment,Culture,Vegan,Business Group,Switzerland - Swiss Alps
Mountains,Honeymoon,Budget-Friendly,Autumn,3-days,Hostel,Relaxation,Vegetarian,Family with Kids,Australia - Great Barrier Reef
Historical Sites,Spiritual Retreat,Mid-Range,Summer,3-days,Hotel,Nature,Vegetarian,Couples,Canada - Niagara Falls
Countryside,Honeymoon,Mid-Range,Autumn,Long(+month),Camping,Culture,Non-Vegetarian,Couples,Egypt - Pyramids of Giza
Historical Sites,Honeymoon,Mid-Range,Spring,3-days,Hostel,Relaxation,Vegetarian,Friends Group,Germany - Neuschwanstein Castle
Other,Family Vacation,Mid-Range,Autumn,Weekend,Camping,Adventure,Vegetarian,Family with Kids,New Zealand - Milford Sound
Countryside,Other,Budget-Friendly,Spring,A Month,Apartment,Relaxation,Non-Vegetarian,Couples,South Africa - Safari in Kruger National Park
City,Spiritual Retreat,Mid-Range,Autumn,Long(+month),Hotel,Culture,Vegetarian,Couples,France - Eiffel Tower in Paris
Beach,Honeymoon,Mid-Range,Winter,A Month,Hotel,Culture,Non-Vegetarian,Business Group,Thailand - Beaches in Phuket
Other,Honeymoon,Luxury,Autumn,Weekend,Hotel,Culture,Non-Vegetarian,Family with Kids,Switzerland - Swiss Alps
Countryside,Other,Luxury,Summer,Weekend,Camping,Adventure,Vegan,Friends Group,India - Taj Mahal
Beach,Family Vacation,Mid-Range,Spring,3-days,Resort,Adventure,Non-Vegetarian,Couples,Canada - Niagara Falls
Island,Family Vacation,Budget-Friendly,Spring,A Month,Resort,Adventure,Vegetarian,Friends Group,Greece - Santorini Sunset
Other,Family Vacation,Mid-Range,Summer,Long(+month),Camping,Nature,Vegan,Friends Group,New Zealand - Milford Sound
Countryside,Adventure,Mid-Range,Autumn,3-days,Camping,Relaxation,Vegan,Solo Traveler,Egypt - Pyramids of Giza
Historical Sites,Other,Budget-Friendly,Spring,Long(+month),Hotel,Relaxation,Non-Vegetarian,Family with Kids,Italy - Venetian Canals in Venice
Island,Family Vacation,Mid-Range,Winter,Weekend,Resort,Nature,Non-Vegetarian,Couples,Greece - Santorini Sunset
Other,Honeymoon,Mid-Range,Summer,Long(+month),Apartment,Adventure,Non-Vegetarian,Business Group,Mexico - Chichen Itza
Other,Other,Mid-Range,Spring,Weekend,Camping,Culture,Non-Vegetarian,Business Group,Switzerland - Swiss Alps
Historical Sites,Adventure,Luxury,Autumn,Weekend,Camping,Relaxation,Vegetarian,Couples,Indonesia - Bali Temples
Other,Adventure,Mid-Range,Summer,A Month,Hotel,Culture,Non-Vegetarian,Friends Group,South Africa - Safari in Kruger National Park
Island,Honeymoon,Mid-Range,Spring,Weekend,Camping,Relaxation,Vegan,Couples,Brazil - Carnival in Rio de Janeiro
Historical Sites,Honeymoon,Mid-Range,Winter,Weekend,Hotel,Relaxation,Vegan,Business Group,Egypt - Pyramids of Giza
Other,Spiritual Retreat,Luxury,Winter,3-days,Resort,Nature,Vegetarian,Friends Group,Brazil - Carnival in Rio de Janeiro
City,Family Vacation,Mid-Range,Autumn,Long(+month),Apartment,Nature,Vegetarian,Family with Kids,Australia - Great Barrier Reef
Mountains,Adventure,Budget-Friendly,Winter,Weekend,Apartment,Adventure,Vegetarian,Friends Group,Greece - Santorini Sunset
City,Adventure,Mid-Range,Autumn,3-days,Apartment,Culture,Vegetarian,Couples,New Zealand - Milford Sound
Other,Spiritual Retreat,Luxury,Winter,Weekend,Resort,Nature,Vegetarian,Business Group,Canada - Niagara Falls
Mountains,Spiritual Retreat,Budget-Friendly,Autumn,Weekend,Hostel,Relaxation,Vegan,Family with Kids,Brazil - Carnival in Rio de Janeiro
Countryside,Adventure,Luxury,Winter,3-days,Hostel,Culture,Non-Vegetarian,Family with Kids,USA - Grand Canyon
